Linux 6.17.0-35-generic (rs-lab) 	06/14/2026 	_x86_64_	(20 CPU)

04:48:47 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:49:07 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:07 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:07 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:07 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:07 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:07 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:07 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:07 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:08 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:08 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:09 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:09 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:10 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:10 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:11 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:11 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:12 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:12 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:13 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:13 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:14 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:14 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:15 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:15 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:16 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:49:16 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:16 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:16 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:49:16 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
