Linux 6.17.0-35-generic (rs-lab) 	06/14/2026 	_x86_64_	(20 CPU)

04:48:14 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:48:43 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:43 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:43 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:43 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:48:44 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:44 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:48:45 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:45 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0   2524117         -    0.00    0.00    0.00    0.00    0.00    16  upf
04:48:46 PM     0         -   2524117    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524120    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524121    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524122    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524123    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524124    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524125    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524129    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524130    0.00    0.00    0.00    0.00    0.00    16  |__upf
04:48:46 PM     0         -   2524342    0.00    0.00    0.00    0.00    0.00    16  |__upf
Average:        0   2524117         -    0.00    0.00    0.00    0.00    0.00     -  upf
Average:        0         -   2524117    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524120    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524121    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524122    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524123    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524124    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524125    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524129    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524130    0.00    0.00    0.00    0.00    0.00     -  |__upf
Average:        0         -   2524342    0.00    0.00    0.00    0.00    0.00     -  |__upf
